No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\net\3c252d\70462c.tga | raw_stage=net | resolved_stage=net | tri=3c252d | texture=70462c
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a32\68d416.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a32 | texture=68d416
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a32\68d417.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a32 | texture=68d417
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a32\68d418.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a32 | texture=68d418
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a32\68d419.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a32 | texture=68d419
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a33\68d816.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a33 | texture=68d816
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a33\68d817.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a33 | texture=68d817
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a33\68d818.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a33 | texture=68d818
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a33\68d819.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a33 | texture=68d819
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a51\695016.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a51 | texture=695016
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a51\695017.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a51 | texture=695017
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a51\695018.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a51 | texture=695018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\015a51\695019.tga | raw_stage=s055a | resolved_stage=s055a | tri=015a51 | texture=695019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\88da57\68d418.tga | raw_stage=s055a | resolved_stage=s055a | tri=88da57 | texture=68d418
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\88da57\68d419.tga | raw_stage=s055a | resolved_stage=s055a | tri=88da57 | texture=68d419
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\88da97\68d818.tga | raw_stage=s055a | resolved_stage=s055a | tri=88da97 | texture=68d818
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\88da97\68d819.tga | raw_stage=s055a | resolved_stage=s055a | tri=88da97 | texture=68d819
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\88e217\695018.tga | raw_stage=s055a | resolved_stage=s055a | tri=88e217 | texture=695018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s055a\88e217\695019.tga | raw_stage=s055a | resolved_stage=s055a | tri=88e217 | texture=695019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a34\68dc16.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a34 | texture=68dc16
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a34\68dc17.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a34 | texture=68dc17
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a34\68dc18.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a34 | texture=68dc18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a34\68dc19.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a34 | texture=68dc19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a35\68e016.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a35 | texture=68e016
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a35\68e017.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a35 | texture=68e017
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a35\68e018.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a35 | texture=68e018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a35\68e019.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a35 | texture=68e019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a38\68ec16.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a38 | texture=68ec16
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a38\68ec17.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a38 | texture=68ec17
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a38\68ec18.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a38 | texture=68ec18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\015a38\68ec19.tga | raw_stage=s056a | resolved_stage=s056a | tri=015a38 | texture=68ec19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\88dad7\68dc18.tga | raw_stage=s056a | resolved_stage=s056a | tri=88dad7 | texture=68dc18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\88dad7\68dc19.tga | raw_stage=s056a | resolved_stage=s056a | tri=88dad7 | texture=68dc19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\88db17\68e018.tga | raw_stage=s056a | resolved_stage=s056a | tri=88db17 | texture=68e018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\88db17\68e019.tga | raw_stage=s056a | resolved_stage=s056a | tri=88db17 | texture=68e019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\88dbd7\68ec18.tga | raw_stage=s056a | resolved_stage=s056a | tri=88dbd7 | texture=68ec18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s056a\88dbd7\68ec19.tga | raw_stage=s056a | resolved_stage=s056a | tri=88dbd7 | texture=68ec19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s063a_0\db8275\54a9e6.tga | raw_stage=s063a_0 | resolved_stage=s063a_0 | tri=db8275 | texture=54a9e6
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s063a_0\db8275\69a9e6.tga | raw_stage=s063a_0 | resolved_stage=s063a_0 | tri=db8275 | texture=69a9e6
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s081a_0\db8275\618717.tga | raw_stage=s081a_0 | resolved_stage=s081a_0 | tri=db8275 | texture=618717
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s081a_0\db8275\768717.tga | raw_stage=s081a_0 | resolved_stage=s081a_0 | tri=db8275 | texture=768717
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a37\1d58be.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a37 | texture=1d58be
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a37\1d58bf.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a37 | texture=1d58bf
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a37\1d58c0.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a37 | texture=1d58c0
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a37\1d58c1.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a37 | texture=1d58c1
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a39\68f016.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a39 | texture=68f016
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a39\68f017.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a39 | texture=68f017
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a39\68f018.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a39 | texture=68f018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a39\68f019.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a39 | texture=68f019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a50\694c16.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a50 | texture=694c16
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a50\694c17.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a50 | texture=694c17
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a50\694c18.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a50 | texture=694c18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\015a50\694c19.tga | raw_stage=s101a | resolved_stage=s101a | tri=015a50 | texture=694c19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\88db97\1d58c0.tga | raw_stage=s101a | resolved_stage=s101a | tri=88db97 | texture=1d58c0
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\88db97\1d58c1.tga | raw_stage=s101a | resolved_stage=s101a | tri=88db97 | texture=1d58c1
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\88dc17\68f018.tga | raw_stage=s101a | resolved_stage=s101a | tri=88dc17 | texture=68f018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\88dc17\68f019.tga | raw_stage=s101a | resolved_stage=s101a | tri=88dc17 | texture=68f019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\88e1d7\694c18.tga | raw_stage=s101a | resolved_stage=s101a | tri=88e1d7 | texture=694c18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101a\88e1d7\694c19.tga | raw_stage=s101a | resolved_stage=s101a | tri=88e1d7 | texture=694c19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a37\1d58be.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a37 | texture=1d58be
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a37\1d58bf.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a37 | texture=1d58bf
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a37\1d58c0.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a37 | texture=1d58c0
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a37\1d58c1.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a37 | texture=1d58c1
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a39\68f016.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a39 | texture=68f016
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a39\68f017.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a39 | texture=68f017
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a39\68f018.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a39 | texture=68f018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a39\68f019.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a39 | texture=68f019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a50\694c16.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a50 | texture=694c16
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a50\694c17.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a50 | texture=694c17
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a50\694c18.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a50 | texture=694c18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\015a50\694c19.tga | raw_stage=s101b | resolved_stage=s101b | tri=015a50 | texture=694c19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\88db97\1d58c0.tga | raw_stage=s101b | resolved_stage=s101b | tri=88db97 | texture=1d58c0
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\88db97\1d58c1.tga | raw_stage=s101b | resolved_stage=s101b | tri=88db97 | texture=1d58c1
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\88dc17\68f018.tga | raw_stage=s101b | resolved_stage=s101b | tri=88dc17 | texture=68f018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\88dc17\68f019.tga | raw_stage=s101b | resolved_stage=s101b | tri=88dc17 | texture=68f019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\88e1d7\694c18.tga | raw_stage=s101b | resolved_stage=s101b | tri=88e1d7 | texture=694c18
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s101b\88e1d7\694c19.tga | raw_stage=s101b | resolved_stage=s101b | tri=88e1d7 | texture=694c19
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a36\68e416.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a36 | texture=68e416
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a36\68e417.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a36 | texture=68e417
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a36\68e418.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a36 | texture=68e418
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a36\68e419.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a36 | texture=68e419
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a51\695016.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a51 | texture=695016
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a51\695017.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a51 | texture=695017
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a51\695018.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a51 | texture=695018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\015a51\695019.tga | raw_stage=s112a | resolved_stage=s112a | tri=015a51 | texture=695019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\88db57\68e418.tga | raw_stage=s112a | resolved_stage=s112a | tri=88db57 | texture=68e418
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\88db57\68e419.tga | raw_stage=s112a | resolved_stage=s112a | tri=88db57 | texture=68e419
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\88e217\695018.tga | raw_stage=s112a | resolved_stage=s112a | tri=88e217 | texture=695018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a\88e217\695019.tga | raw_stage=s112a | resolved_stage=s112a | tri=88e217 | texture=695019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a36\68e416.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a36 | texture=68e416
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a36\68e417.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a36 | texture=68e417
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a36\68e418.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a36 | texture=68e418
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a36\68e419.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a36 | texture=68e419
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a51\695016.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a51 | texture=695016
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a51\695017.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a51 | texture=695017
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a51\695018.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a51 | texture=695018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\015a51\695019.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=015a51 | texture=695019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\88db57\68e418.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=88db57 | texture=68e418
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\88db57\68e419.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=88db57 | texture=68e419
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\88e217\695018.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=88e217 | texture=695018
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s112a_0\88e217\695019.tga | raw_stage=s112a_0 | resolved_stage=s112a_0 | tri=88e217 | texture=695019
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s141a_0\db8275\a025ca.tga | raw_stage=s141a_0 | resolved_stage=s141a_0 | tri=db8275 | texture=a025ca
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\s141a_0\db8275\b525ca.tga | raw_stage=s141a_0 | resolved_stage=s141a_0 | tri=db8275 | texture=b525ca
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\v005a_0\db8275\9372be.tga | raw_stage=v005a_0 | resolved_stage=v005a_0 | tri=db8275 | texture=9372be
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\v005a_0\db8275\a872be.tga | raw_stage=v005a_0 | resolved_stage=v005a_0 | tri=db8275 | texture=a872be
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\v005a_2\db8275\9372be.tga | raw_stage=v005a_2 | resolved_stage=v005a_2 | tri=db8275 | texture=9372be
No CSV match | source=C:\Development\Git\MGS3-PS2-Textures\u - dumped from subsistence\dump\v005a_2\db8275\a872be.tga | raw_stage=v005a_2 | resolved_stage=v005a_2 | tri=db8275 | texture=a872be
